Minimizacion.
Cut & Branch.
Solution status: integer optimal solution.
MIP Objective value:			 3089
LP Objetctive value:			 2520.571739
Gap vs Nodo Raiz:			 22.55156051
Gap final alcanzado:			 0
Tiempo en PreOptimizacion:		 0.0005600452423 [segs]
Tiempo en Optimizar:			 0.0254099369 [segs]
Tiempo en Buscar Cortes:		 0.0001208782196 [segs]
Numero de variables:			 33
Numero de restricciones:		 16
Numero de nodos:			 546
Nodo de valor optimo:			 36
Nodos que quedaron sin explorar:	 0
Cortes Cover Dynamic Agregados>		 2
Cortes Cover Greedy Agregados>		 0
Cortes Clique Agregados>		 0
Cantidad de ejes en Grafo Conflicto>	 21

